date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:25:33	67833/67833	---M--	200	added ('OK')	image/gif	etag:%22108f9-58cff10fe18ad%22	https://misp.iiita.ac.in/img/logo20.gif	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/img/logo20.gif	(from https://misp.iiita.ac.in/)
22:25:34	97180/97180	---M--	200	added ('OK')	application/javascript	etag:%2217b9c-57c36755d4414%22	https://misp.iiita.ac.in/js/jquery-1.12.3.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/jquery-1.12.3.min.js	(from https://misp.iiita.ac.in/)
22:25:34	8044/8044	---M--	200	added ('OK')	application/javascript	etag:%221f6c-57c3675653354%22	https://misp.iiita.ac.in/js/waypoints.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/waypoints.min.js	(from https://misp.iiita.ac.in/)
22:25:35	1067/1067	---M--	200	added ('OK')	application/javascript	etag:%2242b-57c36755fbce4%22	https://misp.iiita.ac.in/js/jquery.counterup.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/jquery.counterup.min.js	(from https://misp.iiita.ac.in/)
22:25:36	65/65	---M--	200	added ('OK')	application/javascript	etag:%2241-57c36757271f4%22	https://misp.iiita.ac.in/js/isotope/min/scripts-min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/isotope/min/scripts-min.js	(from https://misp.iiita.ac.in/)
22:25:37	1722/1722	---M--	200	added ('OK')	application/javascript	etag:%226ba-57c367569dea4%22	https://misp.iiita.ac.in/js/isotope/cells-by-row.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/isotope/cells-by-row.js	(from https://misp.iiita.ac.in/)
22:25:39	34695/34695	---M--	200	added ('OK')	application/javascript	etag:%228787-57c36756ae844%22	https://misp.iiita.ac.in/js/isotope/isotope.pkgd.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/isotope/isotope.pkgd.min.js	(from https://misp.iiita.ac.in/)
22:25:39	13618/13618	---M--	200	added ('OK')	application/javascript	etag:%223532-57c36756ec874%22	https://misp.iiita.ac.in/js/isotope/packery-mode.pkgd.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/isotope/packery-mode.pkgd.min.js	(from https://misp.iiita.ac.in/)
22:25:40	892/892	---M--	200	added ('OK')	application/javascript	etag:%2237c-57c36756c344c%22	https://misp.iiita.ac.in/js/isotope/scripts.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/isotope/scripts.js	(from https://misp.iiita.ac.in/)
22:25:41	599/599	---M--	200	added ('OK')	application/javascript	etag:%22257-57c36755218b4%22	https://misp.iiita.ac.in/js/backtotop.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/backtotop.js	(from https://misp.iiita.ac.in/)
22:25:42	2205/2205	---M--	200	added ('OK')	application/javascript	etag:%2289d-57c367560af14%22	https://misp.iiita.ac.in/js/jquery.localScroll.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/jquery.localScroll.min.js	(from https://misp.iiita.ac.in/)
22:25:43	4357/4357	---M--	200	added ('OK')	application/javascript	etag:%221105-57c367561f734%22	https://misp.iiita.ac.in/js/jquery.scrollTo.min.js	/home/thenullterminator/websites/MISP/misp.iiita.ac.in/js/jquery.scrollTo.min.js	(from https://misp.iiita.ac.in/)
